78	321	884	133.15	0	-0.5	133.15	0	0	1275000	496.1	496.1	0.01	0	0	1
79	322	887	140.31	0	-0.5	140.31	0	0	6225000	1344.1	1344.1	0.01	0	0	4
80	323	889	144.42	0	-0.5	144.42	0	0	4400000	1051.4	1051.4	0.01	0	0	3
81	324	890	148.17	0	-0.5	148.17	0	0	6225000	1632.1	1632.1	0.01	0	0	4
82	325	893	154.64	0	-0.5	154.64	0	0	4400000	1026.7	1026.7	0.01	0	0	3
83	326	895	160.92	0	-0.5	160.92	0	0	4400000	978	978	0.01	0	0	3
84	327	897	165.07	0	-0.5	165.07	0	0	6225000	1751.8	1751.8	0.01	0	0	4
85	328	899	172.57	0	-0.5	172.57	0	0	1275000	459.6	459.6	0.01	0	0	1
86	329	901	180.07	0	-0.5	180.07	0	0	1275000	453.7	453.7	0.01	0	0	1
87	330	903	187.57	0	-0.5	187.57	0	0	1275000	453.4	453.4	0.01	0	0	1
88	331	905	195.07	0	-0.5	195.07	0	0	6225000	1348.8	1348.8	0.01	0	0	4
89	332	906	198.82	0	-0.5	198.82	0	0	6225000	1408.5	1408.5	0.01	0	0	4
90	333	908	202.57	0	-0.5	202.57	0	0	2875000	711.4	711.4	0.01	0	0	2
91	334	913	209.04	0	-0.5	209.04	0	0	4400000	1064.9	1064.9	0.01	0	0	3
92	335	915	215.32	0	-0.5	215.32	0	0	6225000	1563.3	1563.3	0.01	0	0	4
93	336	918	219.77	0	-0.5	219.77	0	0	2875000	825	825	0.01	0	0	2
94	337	921	226.97	0	-0.5	226.97	0	0	1275000	520.7	520.7	0.01	0	0	1
95	338	923	234.47	0	-0.5	234.47	0	0	1275000	442.4	442.4	0.01	0	0	1
96	339	925	241.97	0	-0.5	241.97	0	0	1275000	649.2	649.2	0.01	0	0	1
97	340	927	249.37	0	-0.5	249.37	0	0	1275000	281.3	281.3	0.01	0	0	1
98	341	929	256.37	0	-0.5	256.37	0	0	1275000	244.1	244.1	0.01	0	0	1
99	342	931	263.22	0	-0.5	263.22	0	0	1275000	234	234	0.01	0	0	1
100	343	933	270.72	0	-0.5	270.72	0	0	1275000	169.6	169.6	0.01	0	0	1
101	344	988	9.8	2.3	-0.5	9.8	2.3	0	2875000	937.5	937.5	0.01	0	0	2
102	345	990	13.97	2.3	-0.5	13.97	2.3	0	4400000	1298.8	1298.8	0.01	0	0	3
103	346	992	56.65	2.3	-0.5	56.65	2.3	0	2875000	895.7	895.7	0.01	0	0	2
104	347	994	60.82	2.3	-0.5	60.82	2.3	0	4400000	1228.9	1228.9	0.01	0	0	3
105	348	995	103.55	2.3	-0.5	103.55	2.3	0	2875000	905.4	905.4	0.01	0	0	2
106	349	997	107.72	2.3	-0.5	107.72	2.3	0	4400000	1170.3	1170.3	0.01	0	0	3
107	350	998	150.47	2.3	-0.5	150.47	2.3	0	2875000	859.2	859.2	0.01	0	0	2
108	351	1000	154.64	2.3	-0.5	154.64	2.3	0	4400000	1159.2	1159.2	0.01	0	0	3
109	352	1001	204.87	2.3	-0.5	204.87	2.3	0	2875000	932.7	932.7	0.01	0	0	2
110	353	1003	209.04	2.3	-0.5	209.04	2.3	0	4400000	1242.8	1242.8	0.01	0	0	3
111	354	1019	256.37	3.45	-0.5	256.37	3.45	0	1275000	620.4	620.4	0.01	0	0	1
112	355	1021	263.22	3.45	-0.5	263.22	3.45	0	2875000	828.9	828.9	0.01	0	0	2
113	356	1023	270.72	3.45	-0.5	270.72	3.45	0	1275000	394.5	394.5	0.01	0	0	1
114	357	1024	0	4.35	-0.5	0	4.35	0	6225000	1548.7	1548.7	0.01	0	0	4
115	358	1025	3.72	4.35	-0.5	3.72	4.35	0	6225000	1619.6	1619.6	0.01	0	0	4
116	359	1026	7.45	4.35	-0.5	7.45	4.35	0	2875000	872.4	872.4	0.01	0	0	2
117	360	1027	9.8	4.35	-0.5	9.8	4.35	0	4400000	1113.6	1113.6	0.01	0	0	3
118	361	1029	13.97	4.35	-0.5	13.97	4.35	0	4400000	1227.5	1227.5	0.01	0	0	3
119	362	1032	24.35	4.35	-0.5	24.35	4.35	0	6225000	1998.3	1998.3	0.01	0	0	4
120	363	1034	31.85	4.35	-0.5	31.85	4.35	0	4400000	1777.2	1777.2	0.01	0	0	3
121	364	1036	39.35	4.35	-0.5	39.35	4.35	0	4400000	1700.8	1700.8	0.01	0	0	3
122	365	1038	46.85	4.35	-0.5	46.85	4.35	0	9350000	2076	2076	0.01	0	0	5
123	366	1039	50.6	4.35	-0.5	50.6	4.35	0	6225000	1602.5	1602.5	0.01	0	0	4
124	367	1040	54.35	4.35	-0.5	54.35	4.35	0	2875000	840.3	840.3	0.01	0	0	2
125	368	1041	56.65	4.35	-0.5	56.65	4.35	0	2875000	835.4	835.4	0.01	0	0	2
126	369	1043	60.82	4.35	-0.5	60.82	4.35	0	4400000	1192.2	1192.2	0.01	0	0	3
127	370	1047	71.6	4.35	-0.5	71.6	4.35	0	9350000	2457.6	2457.6	0.01	0	0	5
128	371	1050	78.75	4.35	-0.5	78.75	4.35	0	4400000	1740.2	1740.2	0.01	0	0	3
129	372	1052	86.25	4.35	-0.5	86.25	4.35	0	4400000	1813.7	1813.7	0.01	0	0	3
130	373	1054	93.75	4.35	-0.5	93.75	4.35	0	9350000	2483.2	2483.2	0.01	0	0	5
131	374	1055	97.5	4.35	-0.5	97.5	4.35	0	4400000	1213.5	1213.5	0.01	0	0	3
